"ID","NEWSCODE","PUBLISHTIME","PUBLISHDATE","COMPCODE","INDEXCODE","INDEXTYPE","IMPSCORE","ISVALID","TMSTAMP","ENTRYDATE","ENTRYTIME","NEWSCODEHD","DATA_DOWNLOAD_TIME"
"3303968","20200713030029543655","2020/7/13 9:42:53","20200713","80399833","511100","511","-1","1","00000001046D0A9C","2020/7/14","00:05:08","20200713030001334706",""
"3303969","20200713030029543662","2020/7/13 9:42:57","20200713","81112816","511100","511","-1","1","00000001046D0936","2020/7/14","00:05:08","20200713030001334707",""
"3303970","20200713020101971577","2020/7/13 9:57:00","20200713","80273871","513109","513","0","1","000000010452833D","2020/7/13","10:12:33","20200713020011681552",""
"3303971","20200713020101971584","2020/7/13 9:57:00","20200713","80110798","513109","513","0","1","000000010452833F","2020/7/13","10:12:33","20200713020011681553",""
"3303972","20200713020101971591","2020/7/13 9:33:00","20200713","10000620","512100","512","-1","1","0000000104528344","2020/7/13","10:12:33","20200713020011681554",""
"3303973","20200713020101971675","2020/7/13 9:19:00","20200713","80199122","512102","512","0","1","0000000104528315","2020/7/13","10:12:33","20200713020011681566",""
"3303974","20200713020101971703","2020/7/13 9:46:00","20200713","80065849","514110","514","0","1","0000000104528339","2020/7/13","10:12:33","20200713020011681570",""
"3303975","20200713020101971703","2020/7/13 9:46:00","20200713","80272699","519102","519","-1","1","000000010452833A","2020/7/13","10:12:33","20200713020011681570",""
"3303976","20200713020101971486","2020/7/13 9:18:00","20200713","81114061","512100","512","0","1","0000000104528345","2020/7/13","10:12:33","20200713020011681539",""
"3303977","20200713020101971752","2020/7/13 9:38:00","20200713","80687597","513107","513","-3","1","0000000104528346","2020/7/13","10:12:33","20200713020011681577",""
"3303978","20200713020101971549","2020/7/13 9:36:00","20200713","80302315","514100","514","0","1","000000010452830E","2020/7/13","10:12:33","20200713020011681548",""
"3303979","20200713020101971549","2020/7/13 9:36:00","20200713","81627472","512100","512","0","1","000000010452830F","2020/7/13","10:12:33","20200713020011681548",""
"3303980","20200713020101971668","2020/7/13 9:35:00","20200713","80143712","512100","512","-2","1","0000000104528312","2020/7/13","10:12:33","20200713020011681565",""
"3303981","20200713020101971682","2020/7/13 9:25:00","20200713","80437188","513123","513","0","1","0000000104528316","2020/7/13","10:12:33","20200713020011681567",""
"3303982","20200713020101971689","2020/7/13 9:21:00","20200713","80137634","512100","512","-1","1","000000010452831E","2020/7/13","10:12:33","20200713020011681568",""
"3303983","20200713020101971822","2020/7/13 9:31:00","20200713","80264200","513109","513","0","1","0000000104528332","2020/7/13","10:12:33","20200713020011681587",""
"3303984","20200713020101971822","2020/7/13 9:31:00","20200713","80292047","513109","513","0","1","0000000104528333","2020/7/13","10:12:33","20200713020011681587",""
"3303985","20200713020101971822","2020/7/13 9:31:00","20200713","80427129","513109","513","-1","1","0000000104528334","2020/7/13","10:12:33","20200713020011681587",""
"3303986","20200713020101971822","2020/7/13 9:31:00","20200713","80643037","513109","513","-1","1","0000000104528335","2020/7/13","10:12:33","20200713020011681587",""
"3303987","20200713020101971822","2020/7/13 9:31:00","20200713","81101609","513109","513","-1","1","0000000104528336","2020/7/13","10:12:33","20200713020011681587",""
"3303988","20200713020101971822","2020/7/13 9:31:00","20200713","81577598","513109","513","-1","1","0000000104528337","2020/7/13","10:12:33","20200713020011681587",""
"3303989","20200713020101971829","2020/7/13 9:26:00","20200713","80137685","518100","518","-1","1","0000000104528338","2020/7/13","10:12:33","20200713020011681588",""
"3303990","20200713020101971850","2020/7/13 9:57:00","20200713","80292680","513109","513","0","1","000000010452833E","2020/7/13","10:12:33","20200713020011681591",""
"3303991","20200713020101971857","2020/7/13 9:40:00","20200713","80405103","513128","513","-1","1","0000000104528340","2020/7/13","10:12:33","20200713020011681592",""
"3303992","20200713020101971857","2020/7/13 9:40:00","20200713","80461036","513128","513","-1","1","0000000104528341","2020/7/13","10:12:33","20200713020011681592",""
"3303993","20200713020101971857","2020/7/13 9:40:00","20200713","80512033","513128","513","-1","1","0000000104528342","2020/7/13","10:12:33","20200713020011681592",""
"3303994","20200713020101971857","2020/7/13 9:40:00","20200713","80515743","513128","513","-1","1","0000000104528343","2020/7/13","10:12:33","20200713020011681592",""
"3304036","20200713020101972746","2020/7/13 9:32:00","20200713","80199022","513108","513","0","1","00000001045371E5","2020/7/13","10:31:56","20200713020011681719",""
"3304037","20200713020101972907","2020/7/13 9:40:00","20200713","81154943","512100","512","-2","1","00000001045371E6","2020/7/13","10:31:56","20200713020011681742",""
"3304038","20200713020101972949","2020/7/13 9:27:00","20200713","80086999","513123","513","-1","1","00000001045371E7","2020/7/13","10:31:56","20200713020011681748",""
"3304039","20200713020101972690","2020/7/13 9:29:00","20200713","80186461","513123","513","-1","1","00000001045371E8","2020/7/13","10:31:56","20200713020011681711",""
"3304040","20200713020101972690","2020/7/13 9:29:00","20200713","80205863","513107","513","-3","1","00000001045371E9","2020/7/13","10:31:56","20200713020011681711",""
"3304041","20200713020101972956","2020/7/13 9:52:00","20200713","80612189","514110","514","0","1","00000001045371EA","2020/7/13","10:31:56","20200713020011681749",""
"3304042","20200713020101972991","2020/7/13 10:13:00","20200713","80089261","512100","512","-1","1","00000001045371ED","2020/7/13","10:31:56","20200713020011681754",""
"3304043","20200713020101972991","2020/7/13 10:13:00","20200713","80202127","513128","513","-1","1","00000001045371EE","2020/7/13","10:31:56","20200713020011681754",""
"3304044","20200713020101972991","2020/7/13 10:13:00","20200713","80474226","513128","513","-1","1","00000001045371EF","2020/7/13","10:31:56","20200713020011681754",""
"3304045","20200713020101972991","2020/7/13 10:13:00","20200713","80625281","513108","513","0","1","00000001045371F0","2020/7/13","10:31:56","20200713020011681754",""
"3304046","20200713020101972991","2020/7/13 10:13:00","20200713","80633218","513108","513","0","1","00000001045371F1","2020/7/13","10:31:56","20200713020011681754",""
"3304047","20200713020101972991","2020/7/13 10:13:00","20200713","80642725","513108","513","0","1","00000001045371F2","2020/7/13","10:31:56","20200713020011681754",""
"3304048","20200713020101972991","2020/7/13 10:13:00","20200713","80681467","513107","513","-3","1","00000001045371F3","2020/7/13","10:31:56","20200713020011681754",""
"3304049","20200713020101973005","2020/7/13 10:10:00","20200713","10002145","513109","513","-1","1","00000001045371F4","2020/7/13","10:31:56","20200713020011681756",""
"3304050","20200713020101973019","2020/7/13 10:09:00","20200713","10000195","519100","519","-1","1","00000001045371F5","2020/7/13","10:31:56","20200713020011681758",""
"3304051","20200713020101973019","2020/7/13 10:09:00","20200713","80515083","513100","513","0","1","00000001045371F6","2020/7/13","10:31:56","20200713020011681758",""
"3304052","20200713020101973152","2020/7/13 9:30:00","20200713","80066452","513128","513","-1","1","00000001045371E4","2020/7/13","10:31:56","20200713020011681777",""
"3304053","20200713020101973243","2020/7/13 10:18:00","20200713","80400439","513131","513","-2","1","00000001045371FA","2020/7/13","10:31:56","20200713020011681790",""
