"ID","NEWSCODE","PUBLISHTIME","PUBLISHDATE","NEWSTITLE","NEWSLINK","NEWSSOURCEID","NEWSSOURCE","NEWSAUTHOR","NEWSSOURCETABLE","FINSERTTIME","FINSERTDATE","ISVALID","TMSTAMP","ENTRYDATE","ENTRYTIME","NEWSCODEHD","NEWSLINKHD","DATA_DOWNLOAD_TIME"
"2615754","20200713050022353059","2020/7/13 16:00:28","20200713","20柯桥建投MTN002（102000851）16时00分发生一笔价格异动","\20200713\CT_Bondewevents-45742605.txt","9999999999","财汇AI数据研究院","","05","2020/7/13 16:06:04","20200713","1","00000001045DD03B","2020/7/13","16:07:23","20200713050000307478","\20200713\CT_Bondewevents-945996.txt",""
"2615755","20200713020101995412","2020/7/13 15:35:00","20200713","卓越新能源厂区意外发生火灾 股价下跌近7%","\20200713\NW0001-14504800776.txt","9999999999","上海有色金属网","","02","2020/7/13 16:07:23","20200713","1","00000001045DF231","2020/7/13","16:14:19","20200713020011684957","\20200713\NW0001-536466669.txt",""
"2615758","20200713020101995440","2020/7/13 11:34:00","20200713","三生国健科创板上市在即 核心产品或面临“专利悬崖”","\20200713\NW0001-14503678278.txt","0199999999","时代周报","","02","2020/7/13 16:09:59","20200713","1","00000001045DF22C","2020/7/13","16:14:19","20200713020011684961","\20200713\NW0001-536425095.txt",""
"2615759","20200713020101995160","2020/7/13 15:17:00","20200713","图书机构果麦文化拟IPO:韩寒所持股份市值或超8000万,易中天三年获稿费1800万","\20200713\NW0001-14504645715.txt","0200000003","搜狐财经","","02","2020/7/13 16:09:59","20200713","1","00000001045DF22D","2020/7/13","16:14:19","20200713020011684921","\20200713\NW0001-536460926.txt",""
"2615760","20200713020101995510","2020/7/13 16:01:00","20200713","(深互动)*ST夏利：天津博郡相关事宜不会对上市公司与中国铁物的重大资产重组造成影响","\20200713\NW0001-14504828910.txt","9999999999","深交所互动易","","02","2020/7/13 16:09:59","20200713","1","00000001045DF234","2020/7/13","16:14:19","20200713020011684971","\20200713\NW0001-536467711.txt",""
"2615761","20200713020101995524","2020/7/13 16:07:00","20200713","文投控股：三高管张永明拟减持不超过总股本2%","\20200713\NW0001-14504853345.txt","9999999999","财联社","","02","2020/7/13 16:09:59","20200713","1","00000001045DF23A","2020/7/13","16:14:19","20200713020011684973","\20200713\NW0001-536468616.txt",""
"2615762","20200713020101995545","2020/7/13 16:04:00","20200713","王府井：国瑞基金计划减持不超过1552.5万股公司股份","\20200713\NW0001-14504859150.txt","9999999999","中国网地产","","02","2020/7/13 16:09:59","20200713","1","00000001045DF23B","2020/7/13","16:14:19","20200713020011684976","\20200713\NW0001-536468831.txt",""
"2615772","20200713020101995594","2020/7/13","20200713","（2020）浙1003民初2003号","\20200713\NW0001-14504860446.txt","9999999999","浙江省最高人民法院","","02","2020/7/13 16:13:08","20200713","1","00000001045DF23C","2020/7/13","16:14:19","20200713020011684983","\20200713\NW0001-536468879.txt",""
"2615764","20200713020101995692","2020/7/13 15:38:00","20200713","恒顺醋业(600305.SH)：高云海辞去营销总监职务","\20200713\NW0001-14504693370.txt","9999999999","格隆汇","","02","2020/7/13 16:13:08","20200713","1","00000001045E1984","2020/7/13","16:21:04","20200713020011684997","\20200713\NW0001-536462691.txt",""
"2615763","20200713020101994943","2020/7/13 15:38:00","20200713","弘讯科技(603015.SH)：控股股东3480万股质押延期","\20200713\NW0001-14504694342.txt","9999999999","格隆汇","","02","2020/7/13 16:13:08","20200713","1","00000001045E1985","2020/7/13","16:21:04","20200713020011684890","\20200713\NW0001-536462727.txt",""
