,发布日期,发布时间,新闻标题,新闻来源,关键词,风险类型
0,20180604,2018-06-04 09:36:54,新世纪评级将山东金茂纺织及14鲁金茂MTN001列入负面观察名单,财汇资讯,新世纪评级、山东金茂纺织、14鲁金茂MTN001、负面观察名单,信用风险
1,20180604,2018-06-04 09:29:43,新世纪评级关于将山东金茂纺织化工集团有限公司及其发行的14鲁金茂MTN001列入负面观察名单的公告,中国货币网,新世纪评级、山东金茂纺织、14鲁金茂MTN001、负面观察名单,信用风险
2,20180604,2018-06-04 17:41:10,关于山东金茂纺织化工集团有限公司相关债券中证估值的说明（2018年6月4日）,中证指数有限公司,,
3,20180605,2018-06-05 13:14:00,山东百亿民企被列入负面观察 因金茂集团流动性恶化?,新浪财经,负面观察、金茂集团流动性恶化,信用风险、流动性风险
4,20180607,2018-06-07 20:44:35,大公关注山东金茂纺织重要子公司股权质押及冻结的公告,上海交易所,山东金茂纺织重要子公司股权质押及冻结,信用风险
5,20180607,2018-06-07 20:20:21,大公关于关注山东金茂纺织化工集团有限公司重要子公司股权质押及冻结的公告,上海交易所,山东金茂纺织重要子公司股权质押及冻结,信用风险
6,20180621,2018-06-21 18:27:31,关于山东金茂纺织化工集团有限公司相关债券中证估值的说明（2018年6月21日）,中证指数有限公司,,
7,20180622,2018-06-22 00:00:00,中山证券有限责任公司关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）临时受托管理事务报告,上海交易所,,
8,20180622,2018-06-22 19:36:57,中债将山东金茂纺织化工集团有限公司存续债券的估值进行了调整,中国债券信息网,中债、山东金茂纺织化工集团有限公司存续债券、估值、调整,信用风险
9,20180621,2018-06-21 21:01:48,中山证券有限责任公司关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）临时受托管理事务报告,上海交易所,,
10,20180621,2018-06-21 16:48:09,山东金茂纺织化工集团有限公司2014年度第一期中期票据跟踪评级报告,上海清算所,,
11,20180622,2018-06-22 18:14:26,【中证评级】评级跟踪-20180622,中证评级,,
12,20180625,2018-06-25 19:37:45,中山证券有限责任公司关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）风险提示公告,上海交易所,中山证券有限责任公司、山东金茂纺织化工集团有限公司、公司债券（第一期）、风险提示,信用风险
13,20180627,2018-06-27 18:31:07,山东金茂纺织化工集团有限公司主要资产被冻结的补充公告,上海交易所,山东金茂纺织化工集团有限公司、主要资产、冻结,信用风险
14,20180627,2018-06-27 18:50:51,山东金茂纺织化工集团有限公司主体与相关债项2018年度跟踪评级报告,上海交易所,,
15,20180627,2018-06-27 19:19:30,财通证券股份有限公司关于山东金茂纺织化工集团有限公司公开发行2015年公司债券临时受托管理事务报告,上海交易所,,
16,20180627,2018-06-27 20:42:00,大公国际将“山东金茂纺织化工集团有限公司”的长期债务评级的评级展望列为负面,大智慧财汇数据整理,山东金茂纺织化工集团有限公司、长期债务、评级展望、列为负面,信用风险
17,20180702,2018-07-02 16:21:00,又一家500强企业拉响警报！评级从AA骤降到A+，年内62亿债务到期！,中国债券,,
18,20180702,2018-07-02 07:01:00,罕见！评级从AA骤降到A+ 波及37家银行 又一家中国500强轰然倒下？,债市研究,,
19,20180629,2018-06-29 00:00:00,山东金茂纺织化工集团有限公司关于涉及重大仲裁的公告,上海交易所,山东金茂纺织化工集团有限公司、涉及重大仲裁,法律风险
20,20180707,2018-07-07 00:00:00,中山证券有限责任公司关于召开山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）2018年第一次债券持有人会议的通知,上海交易所,,
21,20180709,2018-07-09 17:43:08,关于山东金茂纺织化工集团有限公司相关债券中证估值的说明（2018年7月9日）,中证指数有限公司,,
22,20180711,2018-07-11 19:26:47,中债提示山东金茂纺织化工集团有限公司今日相关债券估值波动较大,中国债券信息网,山东金茂纺织化工集团有限公司、债券、估值波动较大,市场风险
23,20180712,2018-07-12 14:29:03,关于16金茂01(136231)盘中临时停牌的公告,上海交易所,16金茂01(136231)盘中、临时停牌,市场风险
24,20180711,2018-07-11 18:00:28,关于山东金茂纺织化工集团有限公司相关债券中证估值的说明（2018年7月11日）,中证指数有限公司,,
25,20180712,2018-07-12 14:31:00,“16金茂01”债因交易异常波动暂停交易,中国证券网,“16金茂01”债、交易异常波动、暂停交易,市场风险
26,20180712,2018-07-12 14:22:00,16金茂01（136231）盘中临时停牌,新浪财经,16金茂01（136231）、盘中、临时停牌,市场风险
27,20180712,2018-07-12 17:10:00,16金茂01买盘惊现15.8元低价 债市近期频现高违约预期报价,财联社,16金茂01、惊现低价、频现高违约预期报价,信用风险
28,20180711,2018-07-11 15:12:22,关于16金茂01(136231)盘中临时停牌的公告,上海交易所,,
29,20180716,2018-07-16 22:10:41,旗下3只债券闪崩，让中融新大成债市最焦点，6月来28家公司下调信用评级,券商中国,,
30,20180721,2018-07-21 08:22:43,金茂债闪崩幕后:危险的信托,中国经营网,金茂债闪崩,信用风险
31,20180730,2018-07-30 21:44:10,山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）2018年第一次债券持有人会议决议公告,上海交易所,,
32,20180730,2018-07-30 21:44:04,山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）2018年第一次债券持有人会议决议,上海交易所,,
33,20180802,2018-08-02 17:20:25,山东金茂纺织化工集团有限公司关于召开山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）2018年第二次债券持有人会议的通知,上海交易所,,
34,20180810,2018-08-10 18:39:28,关于召开山东金茂纺织化工集团有限公司2014年度第一期中期票据持有人会议的公告,中国货币网,,
35,20180819,2018-08-19 15:46:00,债基变私募，中泰证券陷“兑付门”谁之过？,野马财经,,
36,20180820,2018-08-20 15:55:55,关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）2018年第二次债券持有人会议决议公告,上海交易所,,
37,20180820,2018-08-20 16:16:10,关于山东金茂纺织化工集团有限公司公开发行2016年公司债券（第一期）2018年第二次债券持有人会议决议,上海交易所,,
38,20180823,2018-08-23 18:20:13,关于召开山东金茂纺织化工集团有限公司2015年公司债券2018年第一次债权持有人会议的通知,上海交易所,,
39,20180830,2018-08-30 17:08:46,山东金茂纺织化工集团有限公司2014年度第一期中期票据持有人会议决议公告,中国货币网,,
